#options: 960x720 fps=24000/1001 timebase=1001/24000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=6 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=1 keyint=250 keyint_min=23 scenecut=40 intra_refresh=0 rc_lookahead=30 rc=crf mbtree=1 crf=18.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 vbv_maxrate=2000 vbv_bufsize=83 crf_max=0.0 nal_hrd=none filler=0 ip_ratio=1.40 aq=1:1.00
in:36 out:33 type:P dur:2 cpbdur:2 q:31.00 aq:23.66 tex:58243 mv:9943 misc:2326 imb:551 pmb:1101 smb:1048 d:- ref:0 ;
in:34 out:34 type:B dur:2 cpbdur:2 q:33.84 aq:24.50 tex:2099 mv:1847 misc:1150 imb:31 pmb:191 smb:2478 d:- ref:0 ;
in:33 out:35 type:b dur:2 cpbdur:2 q:33.82 aq:27.18 tex:1105 mv:522 misc:525 imb:9 pmb:64 smb:2627 d:- ref:0 ;
in:35 out:36 type:b dur:2 cpbdur:2 q:33.84 aq:28.34 tex:1063 mv:356 misc:453 imb:3 pmb:58 smb:2639 d:- ref:0 ;
in:40 out:37 type:P dur:2 cpbdur:2 q:29.71 aq:22.79 tex:58232 mv:8506 misc:2382 imb:435 pmb:1202 smb:1063 d:- ref:0 ;
in:38 out:38 type:B dur:2 cpbdur:2 q:32.83 aq:24.15 tex:990 mv:623 misc:859 imb:17 pmb:104 smb:2579 d:- ref:0 ;
in:37 out:39 type:b dur:2 cpbdur:2 q:33.06 aq:27.46 tex:1557 mv:573 misc:590 imb:9 pmb:78 smb:2613 d:- ref:0 ;
in:39 out:40 type:b dur:2 cpbdur:2 q:33.06 aq:25.62 tex:1418 mv:629 misc:625 imb:11 pmb:79 smb:2610 d:- ref:0 ;
in:44 out:41 type:P dur:2 cpbdur:2 q:29.37 aq:22.53 tex:60735 mv:10544 misc:2329 imb:554 pmb:1199 smb:947 d:- ref:0 ;
in:42 out:42 type:B dur:2 cpbdur:2 q:31.43 aq:22.63 tex:2103 mv:1143 misc:1282 imb:32 pmb:194 smb:2474 d:- ref:0 ;
in:41 out:43 type:b dur:2 cpbdur:2 q:31.85 aq:24.46 tex:1826 mv:813 misc:737 imb:9 pmb:123 smb:2568 d:- ref:0 ;
in:43 out:44 type:b dur:2 cpbdur:2 q:31.86 aq:24.87 tex:2032 mv:931 misc:837 imb:13 pmb:133 smb:2554 d:- ref:0 ;
in:48 out:45 type:P dur:2 cpbdur:2 q:29.26 aq:22.61 tex:59047 mv:10946 misc:2319 imb:590 pmb:1221 smb:889 d:- ref:0 ;
in:46 out:46 type:B dur:2 cpbdur:2 q:30.90 aq:22.36 tex:3092 mv:2900 misc:1952 imb:50 pmb:427 smb:2223 d:- ref:0 ;
in:45 out:47 type:b dur:2 cpbdur:2 q:31.19 aq:25.12 tex:2370 mv:1294 misc:992 imb:27 pmb:156 smb:2517 d:- ref:0 ;
in:47 out:48 type:b dur:2 cpbdur:2 q:31.19 aq:23.96 tex:2471 mv:878 misc:979 imb:18 pmb:145 smb:2537 d:- ref:0 ;
in:52 out:49 type:P dur:2 cpbdur:2 q:28.95 aq:21.85 tex:54816 mv:12782 misc:2082 imb:827 pmb:1250 smb:623 d:- ref:0 ;
in:50 out:50 type:B dur:2 cpbdur:2 q:30.44 aq:24.06 tex:6757 mv:7572 misc:2663 imb:118 pmb:951 smb:1631 d:- ref:0 ;
in:49 out:51 type:b dur:2 cpbdur:2 q:30.66 aq:25.14 tex:3632 mv:2489 misc:1551 imb:20 pmb:376 smb:2304 d:- ref:0 ;
in:51 out:52 type:b dur:2 cpbdur:2 q:30.66 aq:25.79 tex:6901 mv:2097 misc:1802 imb:42 pmb:421 smb:2237 d:- ref:0 ;
in:56 out:53 type:P dur:2 cpbdur:2 q:28.61 aq:21.56 tex:59025 mv:10472 misc:2343 imb:603 pmb:1228 smb:869 d:- ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:30.01 aq:22.54 tex:5773 mv:3598 misc:2117 imb:75 pmb:522 smb:2103 d:- ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:30.32 aq:24.38 tex:4464 mv:2465 misc:1687 imb:61 pmb:334 smb:2305 d:- ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:30.28 aq:22.77 tex:3230 mv:1265 misc:1201 imb:32 pmb:192 smb:2476 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:28.45 aq:22.19 tex:58365 mv:10570 misc:2249 imb:555 pmb:1250 smb:895 d:- ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:29.49 aq:21.90 tex:8156 mv:4389 misc:2319 imb:95 pmb:599 smb:2006 d:- ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:29.94 aq:26.52 tex:5299 mv:3145 misc:1540 imb:19 pmb:418 smb:2263 d:- ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:29.93 aq:23.17 tex:3198 mv:1688 misc:1266 imb:15 pmb:251 smb:2434 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:28.46 aq:21.43 tex:59532 mv:11107 misc:2129 imb:783 pmb:1157 smb:760 d:- ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:29.87 aq:24.76 tex:15572 mv:9456 misc:2636 imb:122 pmb:1164 smb:1414 d:- ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:30.06 aq:24.70 tex:3778 mv:2848 misc:1726 imb:42 pmb:419 smb:2239 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:30.05 aq:23.57 tex:4114 mv:2227 misc:1499 imb:40 pmb:297 smb:2363 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:28.75 aq:21.49 tex:58945 mv:11673 misc:2238 imb:703 pmb:1165 smb:832 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:29.32 aq:22.74 tex:10005 mv:6043 misc:2448 imb:120 pmb:744 smb:1836 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:29.56 aq:23.11 tex:3445 mv:1634 misc:1393 imb:29 pmb:253 smb:2418 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:29.56 aq:21.94 tex:3265 mv:1201 misc:1214 imb:30 pmb:197 smb:2473 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:27.67 aq:20.95 tex:53717 mv:9985 misc:2378 imb:509 pmb:1273 smb:918 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:29.17 aq:20.64 tex:6050 mv:3508 misc:2082 imb:103 pmb:486 smb:2111 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:29.46 aq:22.32 tex:4104 mv:1826 misc:1390 imb:44 pmb:245 smb:2411 d:- ref:0 ;
